Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Environmental crime 1309,10,Environmental Protection Act 1990,Causes environmental damage 1309,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977010,5 years imprisonment,Environment Agency,R v Example1309 [1996] Env LR 1309,Environmental damage 1309,Environmental
Corporate offence 1310,11,Companies Act 2006,Fails to comply with corporate duties 1310,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978011,2 years imprisonment,CPS,R v Example1310 [1989] 1 WLR 1310,Corporate compliance 1310,Corporate Crime
Theft variation 1311,12,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1311,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979012,7 years imprisonment,CPS,R v Example1311 [1982] QB 1311,Specific theft circumstances 1311,Theft
Assault variation 1312,13,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1312,"1. Assault, 2. Unlawfully, 3. Another person",AS1980013,5 years imprisonment,CPS,R v Example1312 [1976] 1 WLR 1312,Specific assault type 1312,Assault
Drug offence variation 1313,14,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1313,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981014,14 years imprisonment,CPS,R v Example1313 [1986] 82 Cr App R 1313,Drug-related conduct 1313,Drugs
Traffic offence variation 1314,15,Road Traffic Act 1988,Contravenes road traffic regulations 1314,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982015,6 months imprisonment,Police,R v Example1314 [1987] RTR 1314,Road traffic violation 1314,Traffic
Public order offence 1315,16,Public Order Act 1986,Disrupts public order in specific manner 1315,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983016,6 months imprisonment,Police,R v Example1315 [1987] QB 1315,Public disorder 1315,Public Order
Cybercrime offence 1316,17,Computer Misuse Act 1990,Unlawfully uses computer systems 1316,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984017,10 years imprisonment,CPS,R v Example1316 [2000] 2 AC 1316,Digital crime 1316,Cybercrime
Financial crime 1317,18,Fraud Act 2006,Dishonestly obtains financial advantage 1317,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985018,10 years imprisonment,CPS,R v Example1317 [2012] EWCA Crim 1317,Economic offence 1317,Financial Crime
Terrorism offence 1318,19,Terrorism Act 2000,Engages in terrorist-related activity 1318,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986019,14 years imprisonment,CPS,R v Example1318 [2007] EWCA Crim 1318,National security threat 1318,Terrorism
Environmental crime 1319,20,Environmental Protection Act 1990,Causes environmental damage 1319,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987020,5 years imprisonment,Environment Agency,R v Example1319 [1996] Env LR 1319,Environmental damage 1319,Environmental
Corporate offence 1320,21,Companies Act 2006,Fails to comply with corporate duties 1320,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988021,2 years imprisonment,CPS,R v Example1320 [1989] 1 WLR 1320,Corporate compliance 1320,Corporate Crime
Theft variation 1321,22,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1321,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989022,7 years imprisonment,CPS,R v Example1321 [1982] QB 1321,Specific theft circumstances 1321,Theft
Assault variation 1322,23,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1322,"1. Assault, 2. Unlawfully, 3. Another person",AS1990023,5 years imprisonment,CPS,R v Example1322 [1976] 1 WLR 1322,Specific assault type 1322,Assault
Drug offence variation 1323,24,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1323,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991024,14 years imprisonment,CPS,R v Example1323 [1986] 82 Cr App R 1323,Drug-related conduct 1323,Drugs
Traffic offence variation 1324,25,Road Traffic Act 1988,Contravenes road traffic regulations 1324,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992025,6 months imprisonment,Police,R v Example1324 [1987] RTR 1324,Road traffic violation 1324,Traffic
Public order offence 1325,26,Public Order Act 1986,Disrupts public order in specific manner 1325,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993026,6 months imprisonment,Police,R v Example1325 [1987] QB 1325,Public disorder 1325,Public Order
Cybercrime offence 1326,27,Computer Misuse Act 1990,Unlawfully uses computer systems 1326,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994027,10 years imprisonment,CPS,R v Example1326 [2000] 2 AC 1326,Digital crime 1326,Cybercrime
Financial crime 1327,28,Fraud Act 2006,Dishonestly obtains financial advantage 1327,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995028,10 years imprisonment,CPS,R v Example1327 [2012] EWCA Crim 1327,Economic offence 1327,Financial Crime
Terrorism offence 1328,29,Terrorism Act 2000,Engages in terrorist-related activity 1328,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996029,14 years imprisonment,CPS,R v Example1328 [2007] EWCA Crim 1328,National security threat 1328,Terrorism
Environmental crime 1329,30,Environmental Protection Act 1990,Causes environmental damage 1329,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997030,5 years imprisonment,Environment Agency,R v Example1329 [1996] Env LR 1329,Environmental damage 1329,Environmental
Corporate offence 1330,31,Companies Act 2006,Fails to comply with corporate duties 1330,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998031,2 years imprisonment,CPS,R v Example1330 [1989] 1 WLR 1330,Corporate compliance 1330,Corporate Crime
Theft variation 1331,32,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1331,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999032,7 years imprisonment,CPS,R v Example1331 [1982] QB 1331,Specific theft circumstances 1331,Theft
Assault variation 1332,33,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1332,"1. Assault, 2. Unlawfully, 3. Another person",AS2000033,5 years imprisonment,CPS,R v Example1332 [1976] 1 WLR 1332,Specific assault type 1332,Assault
Drug offence variation 1333,34,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1333,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001034,14 years imprisonment,CPS,R v Example1333 [1986] 82 Cr App R 1333,Drug-related conduct 1333,Drugs
Traffic offence variation 1334,35,Road Traffic Act 1988,Contravenes road traffic regulations 1334,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002035,6 months imprisonment,Police,R v Example1334 [1987] RTR 1334,Road traffic violation 1334,Traffic
Public order offence 1335,36,Public Order Act 1986,Disrupts public order in specific manner 1335,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003036,6 months imprisonment,Police,R v Example1335 [1987] QB 1335,Public disorder 1335,Public Order
Cybercrime offence 1336,37,Computer Misuse Act 1990,Unlawfully uses computer systems 1336,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004037,10 years imprisonment,CPS,R v Example1336 [2000] 2 AC 1336,Digital crime 1336,Cybercrime
Financial crime 1337,38,Fraud Act 2006,Dishonestly obtains financial advantage 1337,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005038,10 years imprisonment,CPS,R v Example1337 [2012] EWCA Crim 1337,Economic offence 1337,Financial Crime
Terrorism offence 1338,39,Terrorism Act 2000,Engages in terrorist-related activity 1338,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006039,14 years imprisonment,CPS,R v Example1338 [2007] EWCA Crim 1338,National security threat 1338,Terrorism
Environmental crime 1339,40,Environmental Protection Act 1990,Causes environmental damage 1339,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007040,5 years imprisonment,Environment Agency,R v Example1339 [1996] Env LR 1339,Environmental damage 1339,Environmental
Corporate offence 1340,41,Companies Act 2006,Fails to comply with corporate duties 1340,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008041,2 years imprisonment,CPS,R v Example1340 [1989] 1 WLR 1340,Corporate compliance 1340,Corporate Crime
Theft variation 1341,42,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1341,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009042,7 years imprisonment,CPS,R v Example1341 [1982] QB 1341,Specific theft circumstances 1341,Theft
Assault variation 1342,43,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1342,"1. Assault, 2. Unlawfully, 3. Another person",AS2010043,5 years imprisonment,CPS,R v Example1342 [1976] 1 WLR 1342,Specific assault type 1342,Assault
Drug offence variation 1343,44,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1343,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011044,14 years imprisonment,CPS,R v Example1343 [1986] 82 Cr App R 1343,Drug-related conduct 1343,Drugs
Traffic offence variation 1344,45,Road Traffic Act 1988,Contravenes road traffic regulations 1344,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012045,6 months imprisonment,Police,R v Example1344 [1987] RTR 1344,Road traffic violation 1344,Traffic
Public order offence 1345,46,Public Order Act 1986,Disrupts public order in specific manner 1345,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013046,6 months imprisonment,Police,R v Example1345 [1987] QB 1345,Public disorder 1345,Public Order
Cybercrime offence 1346,47,Computer Misuse Act 1990,Unlawfully uses computer systems 1346,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014047,10 years imprisonment,CPS,R v Example1346 [2000] 2 AC 1346,Digital crime 1346,Cybercrime
Financial crime 1347,48,Fraud Act 2006,Dishonestly obtains financial advantage 1347,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015048,10 years imprisonment,CPS,R v Example1347 [2012] EWCA Crim 1347,Economic offence 1347,Financial Crime
Terrorism offence 1348,49,Terrorism Act 2000,Engages in terrorist-related activity 1348,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016049,14 years imprisonment,CPS,R v Example1348 [2007] EWCA Crim 1348,National security threat 1348,Terrorism
Environmental crime 1349,50,Environmental Protection Act 1990,Causes environmental damage 1349,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017050,5 years imprisonment,Environment Agency,R v Example1349 [1996] Env LR 1349,Environmental damage 1349,Environmental
Corporate offence 1350,51,Companies Act 2006,Fails to comply with corporate duties 1350,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968051,2 years imprisonment,CPS,R v Example1350 [1989] 1 WLR 1350,Corporate compliance 1350,Corporate Crime
Theft variation 1351,52,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1351,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969052,7 years imprisonment,CPS,R v Example1351 [1982] QB 1351,Specific theft circumstances 1351,Theft
Assault variation 1352,53,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1352,"1. Assault, 2. Unlawfully, 3. Another person",AS1970053,5 years imprisonment,CPS,R v Example1352 [1976] 1 WLR 1352,Specific assault type 1352,Assault
Drug offence variation 1353,54,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1353,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971054,14 years imprisonment,CPS,R v Example1353 [1986] 82 Cr App R 1353,Drug-related conduct 1353,Drugs
Traffic offence variation 1354,55,Road Traffic Act 1988,Contravenes road traffic regulations 1354,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972055,6 months imprisonment,Police,R v Example1354 [1987] RTR 1354,Road traffic violation 1354,Traffic
Public order offence 1355,56,Public Order Act 1986,Disrupts public order in specific manner 1355,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973056,6 months imprisonment,Police,R v Example1355 [1987] QB 1355,Public disorder 1355,Public Order
Cybercrime offence 1356,57,Computer Misuse Act 1990,Unlawfully uses computer systems 1356,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974057,10 years imprisonment,CPS,R v Example1356 [2000] 2 AC 1356,Digital crime 1356,Cybercrime
Financial crime 1357,58,Fraud Act 2006,Dishonestly obtains financial advantage 1357,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975058,10 years imprisonment,CPS,R v Example1357 [2012] EWCA Crim 1357,Economic offence 1357,Financial Crime
Terrorism offence 1358,59,Terrorism Act 2000,Engages in terrorist-related activity 1358,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976059,14 years imprisonment,CPS,R v Example1358 [2007] EWCA Crim 1358,National security threat 1358,Terrorism
Environmental crime 1359,60,Environmental Protection Act 1990,Causes environmental damage 1359,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977060,5 years imprisonment,Environment Agency,R v Example1359 [1996] Env LR 1359,Environmental damage 1359,Environmental
Corporate offence 1360,61,Companies Act 2006,Fails to comply with corporate duties 1360,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978061,2 years imprisonment,CPS,R v Example1360 [1989] 1 WLR 1360,Corporate compliance 1360,Corporate Crime
Theft variation 1361,62,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1361,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979062,7 years imprisonment,CPS,R v Example1361 [1982] QB 1361,Specific theft circumstances 1361,Theft
Assault variation 1362,63,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1362,"1. Assault, 2. Unlawfully, 3. Another person",AS1980063,5 years imprisonment,CPS,R v Example1362 [1976] 1 WLR 1362,Specific assault type 1362,Assault
Drug offence variation 1363,64,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1363,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981064,14 years imprisonment,CPS,R v Example1363 [1986] 82 Cr App R 1363,Drug-related conduct 1363,Drugs
Traffic offence variation 1364,65,Road Traffic Act 1988,Contravenes road traffic regulations 1364,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982065,6 months imprisonment,Police,R v Example1364 [1987] RTR 1364,Road traffic violation 1364,Traffic
Public order offence 1365,66,Public Order Act 1986,Disrupts public order in specific manner 1365,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983066,6 months imprisonment,Police,R v Example1365 [1987] QB 1365,Public disorder 1365,Public Order
Cybercrime offence 1366,67,Computer Misuse Act 1990,Unlawfully uses computer systems 1366,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984067,10 years imprisonment,CPS,R v Example1366 [2000] 2 AC 1366,Digital crime 1366,Cybercrime
Financial crime 1367,68,Fraud Act 2006,Dishonestly obtains financial advantage 1367,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985068,10 years imprisonment,CPS,R v Example1367 [2012] EWCA Crim 1367,Economic offence 1367,Financial Crime
